RK,Team,Total Points,Previous Points,+/-,Match window,More
132,Solomon IslandsSOL,1113.57,1112.2,+1.37,LW,
133,RwandaRWA,1107.04,1107.04,-,,
134,NicaraguaNCA,1104.26,1104.26,-,,
135,Faroe IslandsFRO,1102.1,1102.1,-,,
136,KuwaitKUW,1098.07,1098.07,-,,
137,LatviaLVA,1097.84,1097.84,-,,
138,LithuaniaLTU,1086.93,1086.93,-,,
139,BurundiBDI,1086.62,1086.62,-,,
140,PhilippinesPHI,1086.17,1086.17,-,,
141,TurkmenistanTKM,1078.25,1078.25,-,,
142,Antigua and BarbudaATG,1072.66,1072.66,-,,
143,SurinameSUR,1071.85,1071.85,-,,
144,EthiopiaETH,1068.79,1068.79,-,,
145,BotswanaBOT,1064.5,1064.5,-,,
146,IndonesiaIDN,1064.01,1064.01,-,,
147,St Kitts and NevisSKN,1057.05,1057.05,-,,
148,LesothoLES,1047.27,1047.27,-,,
149,EswatiniSWZ,1045.88,1045.88,-,,
150,"Hong Kong, ChinaHKG",1042.93,1042.93,-,,
151,Dominican RepublicDOM,1040.77,1040.77,-,,
152,YemenYEM,1027.94,1027.94,-,,
153,LiberiaLBR,1024.11,1024.11,-,,
154,Chinese TaipeiTPE,1023.93,1023.93,-,,
155,MoldovaMDA,1022.6,1022.6,-,,
156,SingaporeSGP,1020.5,1020.5,-,,
157,GuyanaGUY,1018.14,1018.14,-,,
158,AfghanistanAFG,1017.68,1017.68,-,,
1591,New CaledoniaNCL,1008.92,1004.76,+4.16,WW,
1601,Puerto RicoPUR,1007.19,1007.19,-,,
161,MaldivesMDV,1003.48,1003.48,-,,
162,MyanmarMYA,1000.46,1000.46,-,,
1631,TahitiTAH,999.48,994.97,+4.51,WW,
1641,AndorraAND,998.0,998.0,-,,
165,Papua New GuineaPNG,990.61,991.01,-0.4,LW,
166,South SudanSSD,989.29,989.29,-,,
167,St LuciaLCA,988.67,988.67,-,,
1682,FijiFIJ,981.26,980.62,+0.64,WL,
169,CubaCUB,980.65,980.65,-,,
1702,VanuatuVAN,980.33,985.26,-4.93,LL,
171,BermudaBER,972.36,972.36,-,,
172,MaltaMLT,967.29,967.29,-,,
173,St Vincent and the GrenadinesVIN,953.47,953.47,-,,
174,GrenadaGRN,950.99,950.99,-,,
175,NepalNEP,948.05,948.05,-,,
176,MontserratMSR,946.08,946.08,-,,
177,MauritiusMRI,944.95,944.95,-,,
178,BarbadosBRB,943.8,943.8,-,,
179,CambodiaCAM,931.47,931.47,-,,
180,DominicaDMA,922.25,922.25,-,,
181,ChadCHA,920.37,920.37,-,,
182,BelizeBLZ,918.68,918.68,-,,
183,BangladeshBAN,916.75,916.75,-,,
184,BhutanBHU,913.02,913.02,-,,
185,Cook IslandsCOK,897.3,901.9,-4.6,LL,
1861,SamoaSAM,896.78,896.28,+0.5,WL,
1871,MacauMAC,896.62,896.62,-,,
188,American SamoaASA,890.97,893.67,-2.7,L,
189,LaosLAO,889.62,889.62,-,,
190,MongoliaMNG,889.16,889.16,-,,
191,São Tomé and PríncipeSTP,888.94,888.94,-,,
192,DjiboutiDJI,881.18,881.18,-,,
193,ArubaARU,879.32,879.32,-,,
194,Brunei DarussalamBRU,870.63,870.63,-,,
195,PakistanPAK,856.54,856.54,-,,
196,TongaTGA,856.18,853.49,+2.69,W,
197,Cayman IslandsCAY,851.19,851.19,-,,
198,SomaliaSOM,845.66,845.66,-,,
199,SeychellesSEY,845.53,845.53,-,,
200,Timor-LesteTLS,843.4,843.4,-,,
201,GibraltarGIB,840.8,840.8,-,,
202,BahamasBAH,835.81,835.81,-,,
203,LiechtensteinLIE,833.01,833.01,-,,
204,Sri LankaSRI,822.03,822.03,-,,
205,GuamGUM,821.91,821.91,-,,
206,Turks and Caicos IslandsTCA,818.57,818.57,-,,
207,British Virgin IslandsVGB,807.57,807.57,-,,
208,US Virgin IslandsVIR,796.78,796.78,-,,
209,AnguillaAIA,785.69,785.69,-,,
210,San MarinoSMR,741.61,741.61,-,,
-,Eritrea (unranked)ERI,,,,,
